                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76109,                 3.0344,                 1.1864,                0.68545,                0.54225,                0.69661,                0.50831,                 1.5677,                 1.6132,                 1.3487,                      0,                      0,                      0
                      2,                 1.1161,                 2.5984,                 1.3685,                0.88949,                 0.5264,                0.73305,                0.51183,                 1.5428,                 1.5777,                 1.3315,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.1792,                 2.5643,                 1.3668,                0.90475,                0.52351,                0.73742,                0.52028,                 1.5328,                  1.567,                 1.3218,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.2781,                 2.8669,                 1.5874,                0.90796,                0.53111,                0.73729,                0.51509,                 1.5211,                 1.5399,                 1.3119,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.1978,                  2.404,                 1.5343,                0.91083,                 0.5402,                 0.7498,                 0.5375,                 1.4923,                 1.5505,                 1.2984,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                0.72599,                 2.9807,                 1.2314,                0.91201,                0.54861,                0.74921,                0.55051,                 1.5156,                 1.5681,                 1.3015,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.1624,                 3.0922,                 1.4809,                0.91013,                   0.55,                0.75111,                0.54564,                 1.5362,                 1.6207,                 1.3077,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.1357,                 2.9569,                 1.4385,                0.92169,                   0.55,                0.75103,                0.54513,                   1.54,                  1.661,                 1.3128,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.1304,                 2.6229,                 1.2832,                0.92525,                   0.55,                0.75219,                0.53815,                 1.5535,                  1.719,                 1.3198,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.1108,                 3.2733,                 1.3983,                0.93149,                   0.55,                0.75332,                0.52305,                 1.5631,                 1.7789,                 1.3328,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                0.89814,                 2.1026,                 1.2351,                0.93732,                0.54925,                0.74972,                0.52171,                 1.5602,                 1.8608,                 1.3484,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.7736,                    3.1,                 2.2451,                0.93445,                   0.55,                0.70845,                0.51927,                 1.5498,                 1.8792,                 1.3479,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 1.1555,                 2.1231,                  1.553,                0.91509,                   0.55,                0.70843,                0.52158,                 1.5408,                 1.8968,                 1.3491,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                0.98248,                 1.9252,                 1.3637,                0.90245,                   0.55,                0.65754,                0.51004,                 1.5247,                 1.9129,                 1.3407,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                  1.054,                  2.895,                 1.5099,                0.87644,                   0.55,                0.66171,                0.50936,                 1.5304,                 1.9657,                 1.3426,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.2466,                 2.6478,                 1.4884,                0.86826,                   0.55,                0.63639,                0.48171,                 1.5316,                 1.9989,                 1.3486,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                   1.45,                 2.0815,                 1.7841,                0.84939,                 0.5557,                0.62278,                0.46899,                 1.5282,                 2.0207,                 1.3507,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 1.3439,                 3.5166,                  1.617,                0.84939,                 0.5557,                0.62278,                0.46899,                 1.5282,                 2.0207,                 1.3507,             1.6825e-05,             1.6825e-05,             1.6825e-05
